Item number,Title,Current price
FBrelist-080426-0001,LUKE MCCAFFREY 2024 Panini Absolute Star Gazing #SG-LMY RC Rookie Football,2.49
FBrelist-080426-0002,MICHAEL PENIX JR. 2024 Panini Illusions #4 RC Falcons Rookie Football,2.99
FBrelist-080426-0003,KEON COLEMAN 2024 Panini Absolute #BS-KCN RC Bills By Storm Rookie Football,2.99
FBrelist-080426-0004,ROME ODUNZE 2024 Panini Illusions #14 RC Bears Rookie Football,2.99
FBrelist-080426-0005,XAVIER WORTHY 2024 Topps Chrome Rookies #208 RC KC Chiefs Football,2.99
FBrelist-080426-0006,2024 Topps Chrome MARVIN HARRISON JR. FINESSE RC Rookie #F-5 Cardinals Football,3.49
FBrelist-080426-0007,ROME ODUNZE 2024 Panini Absolute Star Gazing #SG-ROE RC Bears Rookie Football,2.99
FBrelist-080426-0008,2024 Bowman Chrome U University Football PICK COMPLETE YOUR SET Pink Lava,3.49
FBrelist-080426-0009,PATRICK MAHOMES II 2024 Panini Absolute #50 Football,2.99
FBrelist-080426-0010,2024 Prizm CADE STOVER Football Orange Cracked Ice Prizm Rookie RC Texans #318,4.99
FBrelist-080426-0011,ANTHONY RICHARDSON PREMIER LEVEL 2023 Panini Select #117 RC Colts Rookie,3.99
FBrelist-080426-0012,2024 Donruss Optic TREY BENSON Rated Rookie #293 Cardinals RC Football,2.99
FBrelist-080426-0013,2023 Panini MOSAIC Football Ja'Marr Chase card #43 Cincinnati Bengals,2.99
FBrelist-080426-0014,JALEN HURTS 2023 Panini Absolute #28 Philadelphia Eagles Football,2.99
FBrelist-080426-0015,2021 Select #31 Deebo Samuel 49ers RC Rookie Football,1.49
FBrelist-080426-0016,BROCK PURDY 2024 Panini Mosaic #190 49ERS Football,3.49
FBrelist-080426-0017,JOE BURROW 2023 Panini Donruss #57 Bengals Football,3.49
FBrelist-080426-0018,2023 Panini MOSAIC - #244 Brian Robinson Jr. Base Washington Commanders Football,1.5
FBrelist-080426-0019,MOSIAC JOSH ALLEN 2024 Panini #22 Bills Football,2.99
FBrelist-080426-0020,MOSIAC JORDAN LOVE PACKERS 2023 Panini #83 Football,3.49
FBrelist-080426-0021,2022 Panini Select Draft PICKS - Concourse #5 Chris Olave RC Buckeyes - Saints,1.99
FBrelist-080426-0022,2024 Panini Donruss - RETRO 1994 Brock Bowers #29 RC Raiders Rookie Football,2.99
FBrelist-080426-0023,2024 Topps Finest KEON COLEMAN Rookie Card Buffalo Bills #92 RC Football,2.99
FBrelist-080426-0024,2024 Donruss Optic Rated Rookie DALLAS TURNER NEGATIVE Auto /325 #224 Vikings RC,31.09
FBrelist-080426-0025,CONCOURSE TREVOR LAWRENCE 2024 Panini Select Silver #98 Silver Prizm Jaguars,3.99
FBrelist-080426-0026,2023 Panini Select Draft PICKS - Concourse Josh Allen #27 Blue Bills Football,1.49
FBrelist-080426-0027,2023 Panini MOSAIC - National Pride Lamar Jackson #260 Ravens Football,2.99
FBrelist-080426-0028,JOE ALT 2024 Panini Absolute Rookies #105 Red white Blue RC Chargers Football,2.99
FBrelist-080426-0029,2024 Panini MOSAIC - Bijan Robinson #9 Falcons Football,2.99
FBrelist-080426-0030,2023 Panini MOSAIC - Keyshawn Johnson #81 Green Mosaic Prizm Jets Football,2.99
FBrelist-080426-0031,2023 Panini MOSAIC - Lamar Jackson #13 Ravens Football,3.49
FBrelist-080426-0032,ASHTON JEANTY 2024 Bowman University Chrome #17 RC Raiders Boise State Football,5.99
FBrelist-080426-0033,CONCOURSE TUA TAGOVAILOA 2022 Panini Select #94 Dolphins Football,3.49
FBrelist-080426-0034,2022 Panini Select JOSH ALLEN Blue #100 Bills Football,1.99
FBrelist-080426-0035,2023 Panini MOSAIC - Amari Cooper #50 Browns Football,2.99
FBrelist-080426-0036,ZAY FLOWERS 2024 Panini Mosaic #17 Ravens Football,2.99
FBrelist-080426-0037,JA'MARR CHASE 2023 Panini Absolute #85 Bengals Football,3.49
FBrelist-080426-0038,RICKY PEARSALL 2024 Panini Donruss Rated Rookie #318 RC 49ERS Football,3.99
FBrelist-080426-0039,LADD MCCONKEY 2024 Panini Absolute Rookies #134 RC Chargers Football,2.99
FBrelist-080426-0040,FRANK GORE JR. 2024 Topps Finest Common #81 RC Bills Rookie Football,2.99
FBrelist-080426-0041,JAWHAR JORDAN 2024 Panini Prizm Rookies #346 RC Texans Football,2.99
FBrelist-080426-0042,2024 Bowman Chrome University Football #182 Will Howard Ohio State Buckeyes,1.99
FBrelist-080426-0043,CHARLIE BATCH 2024 Topps Finest Rare #236 Purple Ref /125 Steelers Football,4.99
FBrelist-080426-0044,DAVID MONTGOMERY 2024 Panini Prizm #94 Lazer Prizm Lions Football,3.49
FBrelist-080426-0045,CHRIS OLAVE 2024 Panini Prizm #206 Black & White Checker Prizm Saints Football,4.99
FBrelist-080426-0046,DALTON SCHULTZ 2024 Panini Prizm #115 Silver Prizm Texans Football,3.49
FBrelist-080426-0047,CHRISTIAN KIRK 2024 Panini Prizm Green Cracked Ice #131 Jaguars Football,2.99
FBrelist-080426-0048,LAIATU LATU FOOTBALL 2024 Panini Prizm #5 PRIZMATIC GREEN ICE COLTS RC ROOKIE,3.49
FBrelist-080426-0049,MAXX CROSBY 2024 Panini Contenders Season Ticket Las Vegas Raiders NFL #52,2.99
FBrelist-080426-0050,DEVONTEZ WALKER 2024 Panini Prizm Rookies #328 RC Ravens Football,2.99
FBrelist-080426-0051,AMARI COOPER 2024 Panini Prizm #66 Browns Football,3.49
FBrelist-080426-0052,ROBBY RAY 2025 Topps Series 2 #459 Gold Parallel #0651/2025 Giants Football,3.99
FBrelist-080426-0053,BRENDEN RICE 2024 Panini Prizm Rookies #313 RC Chargers Football,2.99
FBrelist-080426-0054,2024 Topps Finest #288 Audric Estime Broncos Football,1.99
FBrelist-080426-0055,2024 Panini Prizm #295 LaVar Arrington commanders Football,1.99
FBrelist-080426-0056,2023 Panini MOSAIC #13 Lamar Jackson Ravens Football,1.99
FBrelist-080426-0057,2025 Bowman #BP-53 Jacob Bresnahan Prospects Giants Football,1.49
FBrelist-080426-0058,2024 Donruss Optic #268 Luke McCaffrey Commanders RC Rookie Football,2.99
FBrelist-080426-0059,2024 Panini Prizm #89 John Elway Broncos Silver Prizm Football,1.49
FBrelist-080426-0060,2023 Donruss Optic #CR-TT Tua Tagovailoa Chain Reaction Dolphins Football,2.99
FBrelist-080426-0061,2023 Prestige LAMAR JACKSON XTRA POINTS Purple #/99 #24 Ravens Football,9.29
FBrelist-080426-0062,LADD MCCONKEY 2024 Panini Donruss Rated Rookie #328 RC chargers Football,3.49
FBrelist-080426-0063,2024 Topps Bowman U Chrome Football CAM WARD Base #38 Miami Hurricanes,4.99
FBrelist-080426-0064,PATRICK MAHOMES II 2024 Panini Contenders #50 Game Ticket Football,3.49
FBrelist-080426-0065,2024 Panini CLEARLY Donruss Xavier Legette #16 Base The Rookies Panthers RC,2.99
FBrelist-080426-0066,2024 Select XAVIER LEGETTE Rookie Swatches Prizm #RS-XLE RC /125 Patch Panthers,9.79
FBrelist-080426-0067,BRIAN THOMAS JR. 2024 Panini Select #17 Silver Prizm Jaguars Football,6.49
FBrelist-080426-0068,TREY BENSON 2024 Panini Select #23 Silver Cardinals Football,6.49
FBrelist-080426-0069,BLAKE CORUM 2024 Panini Select #9 Rams Football,2.99
FBrelist-080426-0070,JAYDEN DANIELS 2024 Panini Select #4 Commanders Football,3.99
FBrelist-080426-0071,LUKE MCCAFFREY 2024 Donruss Optic #302 Optic Pink Commanders Football,2.99
FBrelist-080426-0072,ROME ODUNZE 2024 Panini Select #3 Chicago Bears Football,2.99
FBrelist-080426-0073,MICHAEL PENIX JR. 2024 Panini Select #110 Atlanta Falcons Football,3.49
FBrelist-080426-0074,2024 Donruss Optic JALEN MCMILLAN Purple Shock Tampa Bay Buccaneers #239,3.49
FBrelist-080426-0075,LAMAR JACKSON 2024 Panini Contenders #7 Baltimore Ravens Football,2.99
FBrelist-080426-0076,2024 Panini Select Rookie BRIAN THOMAS JR. Premier Silver Prizm #143 RC Jaguars,7.5
FBrelist-080426-0077,RICKY PEARSALL 2024 Donruss #TR-16 San Francisco 49ers Football,3.49
FBrelist-080426-0078,MARVIN HARRISON JR. 2024 Panini Contenders #4 Arizona Cardinals Football,3.49
FBrelist-080426-0079,MARVIN HARRISON JR. 2024 Panini Contenders #5 Arizona Cardinals Football,3.49
FBrelist-080426-0080,BLAKE CORUM 2024 Panini Contenders #21 Los Angeles Rams Football,2.99
FBrelist-080426-0081,SPENCER RATTLER 2024 Panini Contenders #11 New Orleans Saints Football,2.99
FBrelist-080426-0082,2024 Panini TOTALLY Certified - Rookies Brenden Rice #107 Mirror RC Chargers,3.99
FBrelist-080426-0083,2024 Panini TOTALLY Certified Rookies Kool-Aid McKinstry #153 Mirror RC Saints,3.49
FBrelist-080426-0084,NAJEE HARRIS 2024 Panini Select #85 Pittsburgh Steelers Football,3.49
FBrelist-080426-0085,BRYAN ANGER 2024 Panini Select #141 Dallas Cowboys Football,3.49
FBrelist-080426-0086,BRAELON ALLEN 2024 Panini Select #10 New York Jets Football,2.49
FBrelist-080426-0087,TYRONE TRACY JR. 2024 Panini Select #61 New York Giants Football,3.49
FBrelist-080426-0088,RICKY PEARSALL 2024 Panini Select #21 San Francisco 49ers Football,3.49
FBrelist-080426-0089,BROCK BOWERS 2024 Panini Select #118 Las Vegas Raiders Football,3.49
FBrelist-080426-0090,C.J. STROUD 2024 Panini Select #42 Houston Texans Football,3.49
FBrelist-080426-0091,RAY DAVIS 2024 Panini Select #189 Buffalo Bills Football,3.49
FBrelist-080426-0092,MARVIN HARRISON JR. 2024 Panini Select #28 Arizona Cardinals FB-1457 Football,4.49
FBrelist-080426-0093,TUA TAGOVAILOA 2024 Panini Select #99 Miami Dolphins Football,3.49
FBrelist-080426-0094,BLAKE CORUM 2024 Panini Select #9 Los Angeles Rams Football,3.49
